gene	beta	hr	se	z	p	q
RPF2	1.0011073062307594	2.7212934659594215	0.3788467568576961	2.642512541309148	0.008229341756119002	0.9993228105536583
LASTR	0.4771730960514459	1.611512366340841	0.1805755965886231	2.642511530162706	0.008229366328271315	0.9993228105536583
TNIP1	0.8611382702552065	2.3658521407381636	0.32598692898566534	2.641634353054301	0.008250707604416263	0.9993228105536583
TRIM36	0.3841902490901234	1.468424781587677	0.1455934287893171	2.638788386844512	0.008320289925596747	0.9993228105536583
NAA60	-0.964055897206982	0.3813430568866437	0.36536705398776026	-2.638595589517159	0.008325022647404978	0.9993228105536583
OBSCN	-0.613799231738497	0.5412904696533537	0.232805744681916	-2.63652957781233	0.008375889771890188	0.9993228105536583
PRKD1	0.5204735795249367	1.6828244122044742	0.19752362253235978	2.634994097678969	0.008413874622061002	0.9993228105536583
LDHD	-0.39769309769605155	0.6718681939206056	0.15116334047394148	-2.630883231669576	0.008516329123510857	0.9993228105536583
MKI67	0.3521744322782327	1.422156572095001	0.1339355220251845	2.6294326326066937	0.008552747579875009	0.9993228105536583
LINC02864	-0.40343583843005015	0.6680208866928453	0.1536102356659371	-2.626360389859825	0.008630338781793645	0.9993228105536583
CLPP	1.0009050717710772	2.7207431822907324	0.3815129155858195	2.6235155636452587	0.008702746884061252	0.9993228105536583
CDK1	0.36278384567460026	1.437325141614574	0.13834981424447884	2.6222214150105225	0.008735865576012802	0.9993228105536583
C4orf46	0.5786294038555126	1.7835921701635937	0.22070167227702975	2.6217717241816088	0.008747400000425065	0.9993228105536583
CHST3	0.36912910482407724	1.446474338435297	0.14089977314798388	2.619799142163197	0.00879815702828024	0.9993228105536583
CARS1	1.0797582561680341	2.943967778983659	0.41232171517696226	2.6187276013455127	0.008825839281519254	0.9993228105536583
AL354953.1	0.4575013474259504	1.5801208752350206	0.17472200115628148	2.6184529961783958	0.008832945963030525	0.9993228105536583
ZNF527	-1.058901037480203	0.34683676156760185	0.4045388622952607	-2.617550836703899	0.00885632952122295	0.9993228105536583
CYP2B7P	-0.21460356928809649	0.8068612413599531	0.08212924095193266	-2.6129983280095863	0.008975174131169661	0.9993228105536583
RPL22L1	0.46414092799910944	1.5906471213612003	0.17765301273648176	2.6126262698825387	0.0089849494891161	0.9993228105536583
RPS27AP16	0.5467375533629373	1.7276075863548903	0.20961102243431698	2.608343526086569	0.009098159720716925	0.9993228105536583
ZNF511	0.8131826085708664	2.2550735945154816	0.31188082911367354	2.6073504129183895	0.009124592915568996	0.9993228105536583
HNRNPC	1.038189532754033	2.824099443610307	0.3983195441200053	2.6064237823119427	0.009149318380667903	0.9993228105536583
CCL20	0.212948926954048	1.2373214558542518	0.08181350882555466	2.6028577677569653	0.009245029914185743	0.9993228105536583
XBP1	-0.6367866865722519	0.5289895050358964	0.24512313901360352	-2.597823645432806	0.009381666304361769	0.9993228105536583
CDKN3	0.3373048361279651	1.4011661246995126	0.1299674149205944	2.5953031098914034	0.00945075327497813	0.9993228105536583
LOXL2	0.297504144795495	1.3464939562832936	0.11477518342578959	2.592059850532522	0.009540317272437537	0.9993228105536583
HMGB1P1	0.480757114304731	1.6172984185419774	0.18550597073889152	2.5915991403932734	0.009553101187068647	0.9993228105536583
BTF3	0.7537582278808683	2.1249711543928202	0.2912531207384315	2.587983352658402	0.009653964617117428	0.9993228105536583
POGLUT1	0.901893947229366	2.4642658837835194	0.34871272157144617	2.5863522935585848	0.009699773381885102	0.9993228105536583
CMAS	0.780099739131877	2.1816898544990644	0.3019531425091222	2.5835125696971666	0.009779990329782606	0.9993228105536583
AC021028.1	0.681150862641458	1.9761507020584312	0.26418786706524483	2.578282152803173	0.009929288548195636	0.9993228105536583
TAF7	0.8472483225579979	2.3332177479281353	0.32877101350889143	2.577016487906056	0.009965719687639929	0.9993228105536583
ARF6	0.8394797388474198	2.31516217446105	0.3262805614091902	2.5728769596991827	0.010085705613663842	0.9993228105536583
AC114341.1	-0.6597759174652245	0.516967164826127	0.25675665730367814	-2.5696545686247836	0.010179996655892865	0.9993228105536583
ELAVL1	1.4193422078144649	4.134399969605437	0.5525707758455839	2.5686161300196964	0.010210549390684331	0.9993228105536583
RBM8B	0.6002940797116634	1.8226547273607063	0.2339035958202722	2.566416636762266	0.010275532141354793	0.9993228105536583
DIAPH3	0.560645506601425	1.7518029357645017	0.21865407299359627	2.564075294485114	0.010345109983490808	0.9993228105536583
FEZF1	0.3606641585523888	1.4342816887449283	0.14082792484555423	2.561027288784725	0.010436315832425436	0.9993228105536583
PPIAP22	0.7136762291334139	2.0414824377776526	0.27882341472530553	2.5595993429623607	0.010479290000136254	0.9993228105536583
GAL3ST1	-0.3826985785888609	0.6820184432683486	0.14953862521951403	-2.559195512377365	0.010491471842772881	0.9993228105536583
RPL17P50	0.516476902505809	1.676112128898053	0.2019342761694827	2.557648519621958	0.010538254649692824	0.9993228105536583
TGFA	0.2886391675197881	1.3346100709728643	0.1129113618722426	2.556334125580548	0.010578149121675207	0.9993228105536583
ALDOA	0.4621286137823125	1.5874494579757774	0.18092264704881522	2.5542883730726333	0.010640509043867041	0.9993228105536583
WDR18	0.8668106869752585	2.379310374246505	0.3401104674465988	2.548615141083118	0.010815157870394998	0.9993228105536583
ATP5MFP2	0.37474414015625834	1.454619188363118	0.14711679577777642	2.54725599599327	0.010857375268355396	0.9993228105536583
GAR1	0.883806667465472	2.4200946899109104	0.3474230605039946	2.543891779041277	0.010962504306933685	0.9993228105536583
DAAM2	-0.4474751117243806	0.6392401256367842	0.17596347433420279	-2.5429999800669023	0.010990523538039199	0.9993228105536583
VSIG10	-0.5377838092564362	0.5840411657989324	0.21191697143365984	-2.537709960737091	0.011158041485932246	0.9993228105536583
